Grupo,Equipo,Pts,GF,GC,DG,Posicion
A,México,9,4.64,3.26,1.3800001,1
A,Corea del Sur,6,4.01,3.6100001,0.39999998,2
A,República Checa,3,3.74,4.35,-0.61,3
A,Sudáfrica,0,3.12,4.29,-1.1700001,4
B,Suiza,9,5.51,3.29,2.2200003,1
B,Canadá,6,3.9499998,3.93,0.019999862,2
B,Bosnia-Herzegovina,3,3.78,4.44,-0.6600001,3
B,Catar,0,3.22,4.8,-1.5799999,4
C,Brasil,9,6.31,2.53,3.7799997,1
C,Marruecos,6,4.74,3.47,1.2699999,2
C,Escocia,3,4.06,4.71,-0.64999986,3
C,Haití,0,2.04,6.44,-4.3999996,4
D,Turquía,9,4.69,3.5,1.1899999,1
D,EE. UU.,6,4.36,3.45,0.91,2
D,Australia,3,3.42,3.96,-0.53999996,3
D,Paraguay,0,2.98,4.54,-1.56,4
E,Alemania,9,6.1099997,2.5,3.6100001,1
E,Costa de Marfil,6,4.33,3.4499998,0.88,2
E,Ecuador,3,3.67,4.19,-0.52,3
E,Curazao,0,2.2,6.17,-3.97,4
F,Países Bajos,9,5.33,3.26,2.07,1
F,Japón,6,3.91,3.75,0.16000009,2
F,Suecia,3,3.8899999,4.71,-0.82000005,3
F,Túnez,0,3.18,4.59,-1.4100001,4
G,Bélgica,9,6.63,2.43,4.2,1
G,Irán,6,4.25,3.69,0.5599999,2
G,Egipto,3,3.36,4.28,-0.92000014,3
G,Nueva Zelanda,0,2.44,6.2799997,-3.8399997,4
H,España,9,6.2,2.3899999,3.81,1
H,Uruguay,6,4.6,3.35,1.25,2
H,Cabo Verde,3,2.95,4.8500004,-1.9000001,3
H,Arabia Saudí,0,2.45,5.61,-3.1599998,4
I,Francia,9,6.4,2.47,3.9300003,1
I,Senegal,6,4.69,3.52,1.1700001,2
I,Noruega,3,3.83,4.8,-0.9700002,3
I,Irak,0,2.18,6.31,-4.13,4
J,Argentina,7,5.94,2.59,3.35,1
J,Austria,7,4.6499996,3.6100001,1.0399998,2
J,Argelia,3,3.9899998,3.83,0.15999997,3
J,Jordania,0,2.03,6.58,-4.5499997,4
K,Portugal,9,5.9700003,2.68,3.29,1
K,Colombia,6,4.69,3.54,1.15,2
K,RD Congo,3,2.97,4.68,-1.7099999,3
K,Uzbekistán,0,2.75,5.48,-2.73,4
L,Inglaterra,7,6.2,2.67,3.5299997,1
L,Croacia,7,5.43,3.1799998,2.25,2
L,Panamá,3,2.62,5.6,-2.98,3
L,Ghana,0,2.77,5.5699997,-2.8,4
