Variable,Importancia
Pred_Goles_L,0.14988792
Prob_Implicita_ELO,0.13877669
diff_Puntos,0.13577169
Pred_Goles_V,0.063489094
diff_avg_Ptos_5,0.050122067
diff_avg_Pases_Pct_5,0.031144375
avg_Pases_Exitosos_5_Local,0.030464686
avg_Pases_Exitosos_5_Visitante,0.029638607
diff_avg_Remates_a_puerta_5,0.027111571
diff_avg_Paradas_5,0.02259735
Peso_Local,0.022302184
avg_Pases_Pct_total_Visitante,0.021635545
diff_Tier,0.020682475
avg_Faltas_5_Visitante,0.02064394
avg_Pases_Pct_5_Local,0.02062228
avg_Tarjetas_amarillas_5_Visitante,0.020312281
avg_Tarjetas_amarillas_5_Local,0.019992268
avg_Remates_a_puerta_5_Visitante,0.019724743
diff_avg_Tarjetas_amarillas_5,0.019128846
avg_Paradas_5_Local,0.01882564
diff_avg_Córneres_5,0.017789125
diff_avg_Faltas_5,0.01776822
avg_Paradas_5_Visitante,0.017619302
avg_Córneres_5_Visitante,0.01753909
Peso_Visitante,0.016633095
