Fase,Fechas,Local,Visitante,Marcador_Predicho,Avanza,xG_L,xG_V,Prob_1,Prob_X,Prob_2,Detalle
Dieciseisavos,28 jun - 3 jul,Alemania,Argelia,2-0,Alemania,1.78,0.93,54.9,29.5,15.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Francia,Ecuador,2-0,Francia,2.03,0.69,60.2,29.2,10.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Corea del Sur,Canadá,1-0,Corea del Sur,1.31,1.09,37.9,32.5,29.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Países Bajos,Marruecos,2-1,Países Bajos,1.63,1.08,45.2,34.4,20.4,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Colombia,Croacia,1-2,Croacia,1.18,1.67,22.4,34.3,43.3,Tiempo regular
Dieciseisavos,28 jun - 3 jul,España,Austria,1-1 (pen),España,1.86,1.17,34.8,40.3,24.8,Empate; gana en penaltis
Dieciseisavos,28 jun - 3 jul,Turquía,Australia,2-1,Turquía,1.56,1.14,35.9,29.2,34.9,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Bélgica,República Checa,2-0,Bélgica,2.14,0.98,58.7,26.7,14.5,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Brasil,Japón,1-0,Brasil,1.58,1.05,40.0,33.4,26.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Costa de Marfil,Senegal,0-1,Senegal,1.04,1.46,32.9,30.4,36.7,Tiempo regular
Dieciseisavos,28 jun - 3 jul,México,Escocia,2-1,México,1.8,1.17,50.0,32.3,17.7,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Inglaterra,Bosnia-Herzegovina,3-0,Inglaterra,2.46,0.81,59.2,25.8,14.9,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Argentina,Uruguay,1-0,Argentina,1.57,0.97,43.1,34.1,22.9,Tiempo regular
Dieciseisavos,28 jun - 3 jul,EE. UU.,Irán,0-1,Irán,1.21,1.25,23.1,34.6,42.3,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Suiza,Suecia,2-1,Suiza,1.66,1.35,39.8,31.7,28.6,Tiempo regular
Dieciseisavos,28 jun - 3 jul,Portugal,Egipto,2-0,Portugal,2.01,0.83,57.2,28.5,14.3,Tiempo regular
Octavos,4 - 7 jul,Alemania,Francia,1-2,Francia,1.34,1.71,26.7,36.6,36.7,Tiempo regular
Octavos,4 - 7 jul,Corea del Sur,Países Bajos,1-2,Países Bajos,1.07,1.69,17.0,34.1,48.9,Tiempo regular
Octavos,4 - 7 jul,Croacia,España,1-1 (pen),España,1.38,1.68,20.0,43.9,36.0,Empate; gana en penaltis
Octavos,4 - 7 jul,Turquía,Bélgica,1-2,Bélgica,1.11,2.05,18.8,27.1,54.1,Tiempo regular
Octavos,4 - 7 jul,Brasil,Senegal,2-1,Brasil,1.47,1.18,38.8,30.3,30.9,Tiempo regular
Octavos,4 - 7 jul,México,Inglaterra,1-2,Inglaterra,1.03,1.76,19.2,34.0,46.8,Tiempo regular
Octavos,4 - 7 jul,Argentina,Irán,2-0,Argentina,1.67,0.94,45.4,32.3,22.3,Tiempo regular
Octavos,4 - 7 jul,Suiza,Portugal,1-2,Portugal,1.29,1.75,22.4,36.4,41.2,Tiempo regular
Cuartos,9 - 11 jul,Francia,Países Bajos,2-1,Francia,1.68,1.25,43.0,37.1,19.9,Tiempo regular
Cuartos,9 - 11 jul,España,Bélgica,1-1 (pen),España,1.51,1.5,30.9,38.4,30.8,Empate; gana en penaltis
Cuartos,9 - 11 jul,Brasil,Inglaterra,1-2,Inglaterra,1.28,1.66,22.9,37.4,39.7,Tiempo regular
Cuartos,9 - 11 jul,Argentina,Portugal,1-1 (pen),Portugal,1.48,1.47,29.0,40.6,30.4,Empate; gana en penaltis
Semifinales,14 - 15 jul,Francia,España,1-1 (pen),Francia,1.56,1.43,31.9,44.5,23.6,Empate; gana en penaltis
Semifinales,14 - 15 jul,Inglaterra,Portugal,1-1 (pen),Inglaterra,1.66,1.38,36.5,38.4,25.1,Empate; gana en penaltis
3er Puesto,18 jul,España,Portugal,1-1 (pen),España,1.67,1.4,35.9,39.4,24.7,Empate; gana en penaltis
Final,19 jul,Francia,Inglaterra,1-1 (pen),Francia,1.59,1.46,34.1,41.9,24.0,Empate; gana en penaltis
