Fecha,Grupo,Local,Visitante,Marcador_Predicho,Resultado_1X2,xG_L,xG_V,Prob_1,Prob_X,Prob_2
2026-06-11,A,México,Sudáfrica,1-0,1,1.56,0.96,48.1,35.3,16.7
2026-06-12,A,Corea del Sur,República Checa,2-1,1,1.47,1.25,39.3,32.0,28.7
2026-06-12,B,Canadá,Bosnia-Herzegovina,1-0,1,1.37,1.19,37.9,31.8,30.3
2026-06-13,D,EE. UU.,Paraguay,1-0,1,1.64,0.94,43.8,29.5,26.7
2026-06-13,B,Catar,Suiza,0-2,2,0.97,1.95,15.6,30.6,53.8
2026-06-14,F,Países Bajos,Japón,1-0,1,1.52,1.08,38.4,33.5,28.1
2026-06-14,C,Haití,Escocia,0-2,2,0.9,1.92,19.7,28.0,52.4
2026-06-14,C,Brasil,Marruecos,2-1,1,1.67,1.05,49.6,28.1,22.3
2026-06-14,D,Australia,Turquía,1-2,2,1.14,1.56,34.9,29.2,35.9
2026-06-14,E,Alemania,Curazao,3-0,1,2.5,0.58,72.4,19.3,8.2
2026-06-15,H,España,Cabo Verde,2-0,1,2.17,0.74,56.3,27.5,16.2
2026-06-15,F,Suecia,Túnez,2-1,1,1.42,1.24,36.5,30.6,32.8
2026-06-15,E,Costa de Marfil,Ecuador,1-0,1,1.38,1.03,43.0,34.2,22.9
2026-06-15,G,Bélgica,Egipto,2-0,1,1.98,0.79,61.1,27.5,11.4
2026-06-16,H,Arabia Saudí,Uruguay,0-2,2,0.77,1.95,8.9,23.5,67.6
2026-06-16,I,Francia,Senegal,2-0,1,1.65,1.0,49.6,32.7,17.7
2026-06-16,G,Irán,Nueva Zelanda,2-0,1,1.91,0.84,53.7,31.0,15.3
2026-06-17,L,Inglaterra,Croacia,1-1,X,1.62,1.34,35.8,43.1,21.1
2026-06-17,K,Portugal,RD Congo,2-0,1,1.98,0.74,57.7,27.4,14.8
2026-06-17,J,Argentina,Argelia,2-0,1,1.67,0.9,49.9,32.2,17.9
2026-06-17,I,Irak,Noruega,0-2,2,0.92,1.75,15.4,31.9,52.6
2026-06-17,J,Austria,Jordania,2-0,1,2.08,0.75,73.9,20.2,5.9
2026-06-18,A,República Checa,Sudáfrica,1-0,1,1.32,1.17,37.0,32.0,31.0
2026-06-18,K,Uzbekistán,Colombia,0-2,2,0.9,1.9,14.4,25.4,60.2
2026-06-18,B,Suiza,Bosnia-Herzegovina,2-1,1,1.86,1.17,42.3,31.3,26.4
2026-06-18,L,Ghana,Panamá,0-1,2,1.26,1.24,32.8,28.6,38.6
2026-06-19,D,EE. UU.,Australia,1-0,1,1.38,1.01,35.9,32.9,31.2
2026-06-19,A,México,Corea del Sur,1-0,1,1.37,1.13,38.8,35.0,26.2
2026-06-19,B,Canadá,Catar,1-0,1,1.43,1.04,46.4,30.6,22.9
2026-06-20,E,Alemania,Costa de Marfil,2-1,1,1.68,1.03,46.8,36.1,17.1
2026-06-20,C,Brasil,Haití,3-0,1,2.6,0.53,69.6,18.7,11.7
2026-06-20,C,Escocia,Marruecos,1-2,2,1.19,1.77,23.7,32.1,44.2
2026-06-20,F,Países Bajos,Suecia,2-1,1,1.98,1.22,51.5,29.3,19.2
2026-06-20,D,Turquía,Paraguay,2-1,1,1.63,1.02,44.8,29.4,25.8
2026-06-21,G,Bélgica,Irán,2-0,1,1.84,0.95,48.0,32.3,19.7
2026-06-21,H,España,Arabia Saudí,3-0,1,2.34,0.61,68.2,24.1,7.8
2026-06-21,E,Ecuador,Curazao,2-0,1,1.75,0.88,50.6,30.0,19.4
2026-06-21,F,Túnez,Japón,0-1,2,0.98,1.34,20.1,34.0,46.0
2026-06-22,G,Nueva Zelanda,Egipto,0-1,2,0.91,1.56,19.6,32.4,48.0
2026-06-22,J,Argentina,Austria,1-1,X,1.7,1.14,38.6,38.9,22.5
2026-06-22,I,Francia,Irak,3-0,1,2.61,0.57,74.0,19.3,6.7
2026-06-22,H,Uruguay,Cabo Verde,1-0,1,1.61,0.89,43.1,30.8,26.1
2026-06-23,K,Portugal,Uzbekistán,2-0,1,2.24,0.8,58.4,28.8,12.8
2026-06-23,J,Jordania,Argelia,0-2,2,0.73,1.93,15.9,25.9,58.2
2026-06-23,I,Noruega,Senegal,1-2,2,1.18,1.74,30.1,31.5,38.4
2026-06-23,L,Inglaterra,Ghana,3-0,1,2.32,0.7,67.3,20.2,12.5
2026-06-24,B,Suiza,Canadá,2-1,1,1.7,1.15,42.7,30.4,26.8
2026-06-24,L,Panamá,Croacia,0-2,2,0.75,2.08,12.6,26.7,60.6
2026-06-24,B,Bosnia-Herzegovina,Catar,2-1,1,1.42,1.21,36.3,33.7,29.9
2026-06-24,K,Colombia,RD Congo,2-0,1,1.65,0.89,49.0,27.5,23.5
2026-06-25,C,Escocia,Brasil,0-2,2,0.95,2.04,15.4,30.0,54.6
2026-06-25,E,Curazao,Costa de Marfil,0-2,2,0.74,1.92,12.4,30.4,57.2
2026-06-25,A,República Checa,México,1-2,2,1.17,1.71,25.9,29.8,44.2
2026-06-25,E,Ecuador,Alemania,0-2,2,0.89,1.93,11.4,33.2,55.4
2026-06-25,A,Sudáfrica,Corea del Sur,0-1,2,0.99,1.41,23.6,34.1,42.3
2026-06-25,C,Marruecos,Haití,2-0,1,1.92,0.61,62.0,24.4,13.6
2026-06-26,F,Túnez,Países Bajos,0-2,2,0.96,1.83,16.4,26.9,56.7
2026-06-26,I,Noruega,Francia,0-2,2,0.9,2.14,15.7,30.0,54.3
2026-06-26,F,Japón,Suecia,2-1,1,1.49,1.25,44.8,33.5,21.8
2026-06-26,D,Turquía,EE. UU.,2-1,1,1.5,1.34,36.5,31.8,31.7
2026-06-26,D,Paraguay,Australia,0-1,2,1.02,1.27,29.1,32.0,38.9
2026-06-26,I,Senegal,Irak,2-0,1,1.95,0.69,57.9,27.1,15.0
2026-06-27,H,Cabo Verde,Arabia Saudí,1-0,1,1.32,1.07,42.8,29.5,27.7
2026-06-27,H,Uruguay,España,1-2,2,1.04,1.69,17.5,36.5,46.1
2026-06-27,G,Egipto,Irán,0-1,2,1.01,1.39,20.3,34.3,45.4
2026-06-27,G,Nueva Zelanda,Bélgica,0-3,2,0.69,2.81,13.6,23.4,63.0
2026-06-27,L,Croacia,Ghana,2-0,1,2.01,0.81,61.5,24.5,14.0
2026-06-27,L,Panamá,Inglaterra,0-2,2,0.63,2.26,13.3,27.3,59.4
2026-06-28,J,Argelia,Austria,0-1,2,1.16,1.43,28.3,32.2,39.5
2026-06-28,J,Jordania,Argentina,0-3,2,0.55,2.57,6.6,13.7,79.7
2026-06-28,K,RD Congo,Uzbekistán,1-0,1,1.34,1.05,40.0,30.0,30.1
2026-06-28,K,Colombia,Portugal,1-2,2,1.14,1.75,21.2,37.0,41.8
