,R32,Octavos,Cuartos,Semis,Final,Campeon
Francia,95.4,75.4,52.1,39.2,26.7,18.2
Bélgica,94.3,73.6,53.9,33.8,19.0,11.4
Inglaterra,93.5,69.3,48.2,30.8,19.0,10.2
Alemania,95.7,67.7,39.1,26.7,16.5,9.8
España,95.3,59.1,39.6,26.1,14.8,8.5
Argentina,95.2,58.7,39.3,24.8,13.7,6.6
Portugal,93.0,62.7,40.4,23.2,12.6,6.0
Países Bajos,88.7,58.5,39.1,18.6,9.5,4.4
Croacia,90.4,58.6,31.7,17.4,8.3,4.0
Brasil,94.7,56.0,32.2,16.0,8.3,3.9
Austria,89.7,46.8,25.2,12.8,5.7,2.4
Senegal,80.4,44.3,22.0,10.9,4.7,1.8
México,85.5,53.3,23.8,9.3,4.0,1.5
Irán,82.2,50.8,24.5,11.3,4.4,1.3
Uruguay,86.9,38.4,19.8,9.8,3.9,1.3
Suiza,87.1,48.3,22.2,9.3,3.7,1.2
Costa de Marfil,82.5,40.0,18.3,8.1,3.3,1.2
Japón,80.1,40.2,20.7,7.8,3.0,1.1
Colombia,84.9,42.5,19.7,8.2,2.9,0.8
Noruega,66.8,30.2,12.2,5.0,1.9,0.6
Marruecos,84.8,36.1,17.0,5.7,1.9,0.6
Turquía,78.4,37.6,13.7,5.1,1.5,0.6
Corea del Sur,74.4,41.5,14.7,4.6,1.5,0.4
Argelia,75.0,26.8,10.1,3.6,1.1,0.3
Canadá,75.2,33.3,12.1,3.4,1.0,0.3
República Checa,63.3,29.2,9.9,2.9,0.8,0.2
Suecia,54.1,21.1,9.1,2.7,0.8,0.2
EE. UU.,74.5,31.4,9.9,3.0,0.8,0.2
Cabo Verde,56.7,17.1,6.0,1.7,0.5,0.2
Ecuador,65.1,22.0,6.4,1.7,0.4,0.1
Australia,69.6,28.8,9.0,2.6,0.8,0.1
Bosnia-Herzegovina,63.2,22.7,7.7,1.9,0.4,0.1
Sudáfrica,48.5,19.8,6.7,1.6,0.3,0.1
RD Congo,51.2,16.8,5.5,1.7,0.3,0.1
Túnez,45.4,16.0,6.1,1.5,0.4,0.1
Escocia,64.7,18.5,6.1,1.5,0.3,0.1
Panamá,38.7,11.6,3.4,0.8,0.2,0.1
Egipto,58.1,23.0,6.6,1.7,0.4,0.0
Paraguay,50.9,15.6,3.6,0.8,0.2,0.0
Nueva Zelanda,28.2,7.5,1.6,0.5,0.1,0.0
Uzbekistán,34.7,8.8,2.2,0.5,0.1,0.0
Irak,20.6,4.5,0.9,0.2,0.0,0.0
Curazao,22.1,4.6,1.1,0.2,0.0,0.0
Catar,44.7,12.3,2.8,0.5,0.1,0.0
Ghana,35.8,9.7,2.3,0.4,0.0,0.0
Jordania,12.7,2.0,0.3,0.1,0.0,0.0
Arabia Saudí,23.9,3.5,0.7,0.1,0.0,0.0
Haití,23.5,3.6,0.7,0.0,0.0,0.0
